,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2009-09-09,"NYSE Euronext (NYX) to Sell Stakes in AMEX Unit (BAC, BARC, UBS, C, AMTD, GS, NYX)",BAC,0.00117524026013327,-0.04461115217464651,-0.00409579026810436,0.01484517894142412,0.0350341573501356,-0.01094227491603772,,0.010563469925487512,0.12562205584843245
1,2009-10-14,Blackstone (BX) Says The Best Is Yet To Come,BAC,0.04379589205881196,0.52813006811008,-0.012202003913869497,0.030285606007437238,0.009809891938812099,-0.0011530846168035236,0.020588442042285937,-0.026358430319869952,-0.07633832258985318
2,2009-10-22,Treasury May Curtail Top Exec Pays of Bailed Out Firms,BAC,0.0006054597871885115,0.07144667736523447,-0.029393979769268497,-0.008741291626794379,-0.005793896294787215,-0.04640896325382382,-0.026358430319869952,-0.01815973163867446,-0.2259843397496505
3,2009-11-09,Dad’s Advice For JP Morgan’s (JPM) Jamie Dimon,BAC,0.04784025417247961,0.12154344974123066,-0.005287285450848778,0.029251634149277672,-0.006757011248950007,0.011620251356140754,0.0034295252732789994,0.016487395309311426,0.1458497991318939
4,2009-11-17,Barron’s Shows How Warren Buffett Got 120% Return on the Goldman Sachs (GS) Deal,BAC,-0.006301650344307963,-0.2796138008079916,-0.006883384731115938,-0.004981322978829805,-0.02251987044318471,0.0249531522336226,0.016487395309311426,0.03677888740076751,0.6210106922508907
5,2009-11-27,"Banking Sector, Financial Services Slump on Dubai Debt Troubles (JPM), (GS), (C), (BAC)",BAC,-0.03009392438498182,-0.007567968049321583,-0.009316944834384389,-0.011663665236112397,0.012430339843674476,0.00062179311181354,-0.016513833274852785,0.024563817691285017,0.3439134674143107
6,2009-11-30,Hedge Funds Accumulate Stocks As Individuals Cash In,BAC,0.024563817691285017,0.3439134674143107,-0.03009392438498182,-0.009316944834384389,-0.011663665236112397,0.012430339843674476,0.00062179311181354,0.0031545848397507292,0.10189153942919127
7,2009-11-30,"Four American Banks In Global Financial Watchdog Hitlist, GS, JPM, MS, BAC",BAC,0.024563817691285017,0.3439134674143107,-0.03009392438498182,-0.009316944834384389,-0.011663665236112397,0.012430339843674476,0.00062179311181354,0.0031545848397507292,0.10189153942919127
8,2009-12-02,"Top Five Active Stocks Of The Day (BAC, C, F, GE, PFE)",BAC,-0.015104282113040157,-0.09079667385158297,0.0031545848397507292,0.024563817691285017,-0.03009392438498182,-0.009316944834384389,-0.011663665236112397,0.007029301474495542,4.004994889147098
9,2009-12-03,Index Futures Surge As Bank Of America (BAC) Is Set To Repay $45 Billion Government Bail Out Fund,BAC,0.007029301474495542,4.004994889147098,-0.015104282113040157,0.0031545848397507292,0.024563817691285017,-0.03009392438498182,-0.009316944834384389,0.032995054287573655,0.8824019791445936
10,2009-12-04,"Declining Unemployment Rate Points To Economic Recovery, Can Have Positive Rub-Off On Select Sectors (XOM, CVX, SPY, QQQQ, XLF, M, WMT, BBY)",BAC,0.032995054287573655,0.8824019791445936,0.007029301474495542,-0.015104282113040157,0.0031545848397507292,0.024563817691285017,-0.03009392438498182,-0.023955988593122535,-0.7627721194305829
11,2009-12-10,CITIGROUP EXPECTED TO PAY BACK TARP. WATCH THESE LEVELS.,BAC,-0.011695859922913554,0.2781321095434952,-0.0012978780910621879,-0.030207700346753907,-0.023955988593122535,0.032995054287573655,0.007029301474495542,0.027613150705206868,-0.2352959173347161
12,2009-12-11,"Goldman Sachs Pays Bonuses in Stock (GS, BAC, C)",BAC,0.027613150705206868,-0.2352959173347161,-0.011695859922913554,-0.0012978780910621879,-0.030207700346753907,-0.023955988593122535,0.032995054287573655,0.0,-0.34044339715549576
13,2009-12-14,"CitiGroup to Repay $20 Billion of TARP Loan (C, JPM, BAC)",BAC,0.0,-0.34044339715549576,0.027613150705206868,-0.011695859922913554,-0.0012978780910621879,-0.030207700346753907,-0.023955988593122535,-0.028150836785526323,0.4791108836802733
14,2009-12-14,"Barclays (BCS) Admits To Failure In Managing Bonuses, GS, C, MS, BAC, COF, JPM",BAC,0.0,-0.34044339715549576,0.027613150705206868,-0.011695859922913554,-0.0012978780910621879,-0.030207700346753907,-0.023955988593122535,-0.028150836785526323,0.4791108836802733
